cs071	1	204.88	-290.70	0.29	-0.21	-42.43	60.21
cs072	1	-170.66	-470.74	3.00	0.17	-28.77	-79.36
cs073	1	44.09	15.99	-2.02	-0.14	-6.32	-2.29
cs075	1	90.43	57.97	-1.27	-0.42	-38.30	-24.55
cs076	1	-109.55	-142.23	-0.89	0.12	-13.40	-17.39
cs077	1	298.93	133.50	-1.97	-0.06	-19.42	-8.67
cs078	1	99.96	184.24	-3.85	-0.67	-66.91	-123.32
cs079	1	197.21	18.63	0.07	0.62	122.90	11.61
cs080	1	-84.78	-46.99	1.80	0.08	-6.63	-3.67
cs081	1	3.37	-550.44	-0.24	-0.71	-2.39	389.57
cs082	1	-107.86	-219.55	0.86	0.13	-14.15	-28.79
cs083	1	-98.42	285.93	3.00	0.38	-36.91	107.23
cs084	1	145.80	-120.38	-2.18	0.26	38.34	-31.66
cs085	1	261.42	90.78	3.31	1.52	397.11	137.91
cs087	1	26.47	-120.90	0.13	0.00	-0.01	0.04
cs088	1	-12.06	110.29	-0.71	-0.14	1.65	-15.10
cs089	1	79.35	-69.82	-1.70	-0.37	-29.38	25.85
cs090	1	-62.93	27.32	3.56	0.05	-3.09	1.34
cs092	1	98.42	153.04	2.89	-0.10	-10.32	-16.04
cs093	1	-269.54	211.26	3.20	0.45	-121.95	95.58
cs094	1	-6.28	116.04	1.58	0.05	-0.28	5.24
cs095	1	-74.44	-92.98	1.27	-0.06	4.68	5.85
cs096	1	25.03	-185.04	1.72	0.20	4.97	-36.77
cs097	1	-436.11	96.72	-1.58	-0.63	274.23	-60.82
cs098	1	323.71	-177.30	0.26	1.03	333.10	-182.45
cs099	1	-136.92	179.22	3.95	1.02	-139.66	182.81
cs100	1	-153.82	-216.10	0.04	0.00	0.73	1.02
cs101	1	-149.17	-119.44	0.47	0.24	-36.23	-29.01
cs102	1	-78.14	304.84	0.15	-0.36	28.50	-111.20
cs103	1	-70.35	182.95	-2.07	0.05	-3.42	8.88
cs104	1	188.83	190.92	0.86	0.32	60.62	61.29
cs105	1	265.90	276.64	1.08	0.71	187.71	195.29
cs106	1	-331.68	164.43	0.34	0.61	-203.29	100.78
cs107	1	165.12	159.03	-1.74	0.07	11.90	11.46
cs108	1	-70.16	9.71	-1.48	-0.21	14.50	-2.01
cs109	1	-127.23	-81.63	-2.71	-0.38	48.64	31.21
cs110	1	-158.72	-202.41	-1.46	-0.32	50.59	64.52
cs111	1	-200.02	-183.48	-5.83	-2.33	466.30	427.73
cs112	1	2.36	-488.67	0.41	2.36	5.56	-1153.55
cs113	1	36.95	118.85	2.65	-0.17	-6.45	-20.73
cs114	1	-28.60	133.30	-1.72	3.32	-95.00	442.73
cs115	1	453.31	-86.57	-2.11	0.05	20.41	-3.90
cs116	1	-253.05	-250.81	-0.01	-0.44	111.34	110.36
cs117	1	85.72	-99.52	-1.99	-0.29	-24.56	28.51
cs118	1	-206.26	-81.94	0.80	-0.33	67.54	26.83
cs119	1	291.16	146.35	-0.58	-0.34	-99.27	-49.90
cs120	1	232.52	-46.25	0.86	0.62	145.12	-28.86
cs121	1	-166.45	257.09	1.47	0.80	-132.36	204.43
cs122	1	-9.39	-30.42	-0.96	-0.24	2.24	7.25
cs123	1	60.49	-57.91	-0.91	-0.60	-36.11	34.57
cs124	1	-327.53	283.22	-1.93	-0.10	32.11	-27.76
cs125	1	61.72	302.52	-0.59	-2.88	-177.57	-870.42
cs126	1	-223.22	-215.06	-0.26	-0.36	80.87	77.91
cs127	1	40.19	4.07	-1.24	0.42	16.69	1.69
cs128	1	200.50	-36.39	-0.45	0.26	52.27	-9.49
cs130	1	295.78	-86.07	-1.60	-0.20	-59.88	17.42
cs131	1	-106.65	-152.34	-3.14	-0.78	83.25	118.93
cs132	1	-214.20	107.73	0.56	0.00	0.52	-0.26
cs133	1	-52.04	-284.65	-1.68	-0.37	19.30	105.55
cs136	1	167.23	232.26	3.02	-0.06	-10.86	-15.08
cs137	1	-269.03	-21.19	-0.03	-0.33	89.02	7.01
cs138	1	-134.14	60.25	1.80	-0.70	94.05	-42.25
cs139	1	48.92	302.71	0.81	0.08	3.97	24.58
cs142	1	292.68	-24.43	-2.29	0.03	8.29	-0.69
cs143	1	-65.89	42.38	1.57	-0.09	6.01	-3.86
cs144	1	-88.72	101.44	-2.31	-0.32	28.76	-32.89
cs145	1	-118.54	194.47	-3.12	-0.42	50.28	-82.49
cs146	1	216.50	245.49	0.84	0.03	7.14	8.10
cs147	1	239.36	95.34	0.44	0.01	3.33	1.33
cs150	1	-318.59	-4.70	1.61	0.57	-180.84	-2.67
cs151	1	70.46	-274.38	-2.15	-0.41	-29.12	113.41
cs152	1	-212.95	8.84	-1.45	-0.04	7.85	-0.33
cs153	1	-76.40	59.62	1.72	0.09	-6.97	5.44
cs154	1	9.14	-284.52	0.24	-0.34	-3.06	95.42
